random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
12,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.5945945945945946,0.4831077971094541,0.4705882352941176,0.5984555984555985,"[[50, 3, 18], [2, 2, 2], [17, 3, 14]]",6,2,0.704225352112676,0.7246376811594203,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.4117647058823529,0.4117647058823529,0.4117647058823529
12,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.5945945945945946,0.4322470772346498,0.43602065430423637,0.5909146935266338,"[[51, 3, 17], [3, 1, 2], [19, 1, 14]]",4,1,0.7183098591549296,0.6986301369863014,0.7083333333333334,0.16666666666666666,0.2,0.18181818181818182,0.4117647058823529,0.42424242424242425,0.417910447761194
12,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5855855855855856,0.4377704133296511,0.4293691360548853,0.5997277588363256,"[[48, 3, 20], [2, 1, 3], [13, 5, 16]]",8,1,0.676056338028169,0.7619047619047619,0.7164179104477612,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.47058823529411764,0.41025641025641024,0.4383561643835616
13,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5855855855855856,0.4684249286569087,0.44574927230753786,0.6092216878124738,"[[42, 8, 21], [1, 1, 4], [9, 3, 22]]",11,1,0.5915492957746479,0.8076923076923077,0.6829268292682927,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.6470588235294118,0.46808510638297873,0.5432098765432098
13,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6306306306306306,0.5069962257203351,0.49156133381485495,0.6332640332640334,"[[53, 3, 15], [3, 2, 1], [15, 4, 15]]",7,2,0.7464788732394366,0.7464788732394366,0.7464788732394366,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.4411764705882353,0.4838709677419355,0.46153846153846156
13,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6306306306306306,0.4916689680567063,0.4859638957999614,0.6211975923983014,"[[56, 1, 14], [3, 2, 1], [18, 4, 12]]",5,2,0.7887323943661971,0.7272727272727273,0.7567567567567568,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.35294117647058826,0.4444444444444444,0.39344262295081966
13,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6396396396396397,0.5014728896253337,0.5115563515650114,0.628910001934466,"[[56, 0, 15], [4, 2, 0], [18, 3, 13]]",3,2,0.7887323943661971,0.717948717948718,0.7516778523489933,0.3333333333333333,0.4,0.36363636363636365,0.38235294117647056,0.4642857142857143,0.41935483870967744
13,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6756756756756757,0.505155113688668,0.5047840515466415,0.6769843748261014,"[[54, 2, 15], [2, 1, 3], [12, 2, 20]]",4,1,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.16666666666666666,0.2,0.18181818181818182,0.5882352941176471,0.5263157894736842,0.5555555555555556
14,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.5788916505569364,0.5157407407407407,0.6071821821821822,"[[53, 4, 14], [1, 4, 1], [19, 4, 11]]",8,4,0.7464788732394366,0.726027397260274,0.7361111111111112,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3235294117647059,0.4230769230769231,0.36666666666666664
14,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6576576576576577,0.5006443892110835,0.5025089605734766,0.635745422842197,"[[60, 2, 9], [3, 2, 1], [21, 2, 11]]",4,2,0.8450704225352113,0.7142857142857143,0.7741935483870968,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3235294117647059,0.5238095238095238,0.4
